Wall time,Step,Value
1689000102.9530528,0,0.04365900531411171
1689001509.6450238,1,0.13465721905231476
1689002922.7378027,2,0.18817034363746643
1689004329.396637,3,0.22787533700466156
1689005739.915617,4,0.2636410593986511
1689007150.712186,5,0.29809069633483887
1689008563.8775945,6,0.32996422052383423
1689009975.0660446,7,0.35785722732543945
1689011384.9781125,8,0.3824557363986969
1689012795.54275,9,0.4059118926525116
1689014207.5812159,10,0.42771634459495544
1689015619.3759768,11,0.45086926221847534
1689017031.2855294,12,0.4722909927368164
1689018442.4096415,13,0.49518775939941406
1689019859.231423,14,0.5186321139335632
1689021268.2738986,15,0.54426109790802
1689022680.5101168,16,0.5697251558303833
1689024094.8133316,17,0.5973355174064636
1689025504.3691642,18,0.6298714876174927
1689026915.8876572,19,0.6640326380729675
1689028329.3392112,20,0.7014588117599487
1689029743.918999,21,0.7378368973731995
1689031155.7352526,22,0.7716918587684631
1689032566.3847284,23,0.8036625385284424
1689033980.2487352,24,0.8312669992446899
1689035392.8762386,25,0.8541873097419739
1689036809.2933624,26,0.8761743307113647
1689038222.5389626,27,0.8931121230125427
1689039640.1162922,28,0.9093756675720215
1689041052.981346,29,0.9207990169525146
1689042463.9169874,30,0.9301379323005676
1689043877.887216,31,0.9381077885627747
1689045290.856358,32,0.9444171190261841
1689046706.762358,33,0.9491778612136841
1689048122.3526676,34,0.9531936645507812
1689049534.5154393,35,0.9553076028823853
1689050946.6138701,36,0.9572919607162476
1689052360.451474,37,0.9594971537590027
1689053774.851331,38,0.9614991545677185
1689055187.4819343,39,0.9624383449554443
1689056597.2944462,40,0.963442325592041
1689058013.3927665,41,0.964316725730896
1689059427.001892,42,0.9653943181037903
1689060837.60638,43,0.9664836525917053
1689062250.192955,44,0.9665719866752625
1689063664.4622416,45,0.9673286080360413
1689065076.3544195,46,0.9680352210998535
1689066489.4821908,47,0.9678556323051453
1689067906.5174859,48,0.9682442545890808
1689069319.6703758,49,0.9684621095657349
